datetime	laeq_BullIsland2	laeq_Ballyferm3	laeq_Ballymun4	laeq_DCCRowingClub5	laeq_NavanRoad8	laeq_Raheny9	laeq_ChanceryPark11	laeq_BlessingtonBasin12	laeq_DolphinsBarn13	day_of_month	day_of_week	hour_of_day
2015-04-12	51.07125	56.40541666666667	62.03458333333333	55.541666666666664	55.95708333333334	53.013749999999995	59.897083333333335	51.63125	57.990833333333335	12.0	6.0	11.5
2015-04-13	52.84708333333333	55.46333333333333	61.2125	56.537083333333335	54.7925	51.32416666666666	59.61291666666667	50.59041666666667	55.709583333333335	13.0	0.0	11.5
2015-04-14	54.2175	55.13125	60.10958333333334	54.225	54.31166666666667	50.70375000000001	59.38583333333333	50.81666666666666	55.7725	14.0	1.0	11.5
2015-04-15	43.596666666666664	54.88375	61.315416666666664	54.15541666666667	53.655	52.388749999999995	61.03666666666667	49.655	55.57875000000001	15.0	2.0	11.5
2015-04-16	42.28125	53.23083333333333	61.91791666666666	56.03791666666667	52.312083333333334	51.69583333333333	59.89083333333334	49.20166666666666	54.67083333333333	16.0	3.0	11.5
2015-04-17	42.786249999999995	54.26083333333333	62.26291666666666	56.11625	52.30458333333333	52.23208333333333	60.45166666666666	49.43	55.982499999999995	17.0	4.0	11.5
2015-04-18	52.66583333333333	53.97625	62.42458333333334	56.03875	52.765833333333326	52.88583333333333	59.67625	48.96958333333333	55.39541666666667	18.0	5.0	11.5
2015-04-19	45.594166666666666	53.501666666666665	62.37625	54.47083333333333	51.74875	52.314166666666665	58.94958333333333	48.65708333333333	55.030833333333334	19.0	6.0	11.5
2015-04-20	44.22636363636364	53.45045454545455	61.36818181818182	54.01863636363637	51.36000000000001	51.93727272727272	59.66272727272727	48.66090909090909	55.35363636363636	20.0	0.0	11.5
2015-04-21	40.92666666666667	51.14555555555555	57.60333333333334	53.83444444444444	50.54	47.43111111111111	63.07777777777778	45.63111111111111	52.00333333333333	21.0	1.0	5.0
2015-04-22												
2015-04-23												
2015-04-24												
2015-04-25												
2015-04-26												
2015-04-27												
2015-04-28												
2015-04-29												
2015-04-30												
2015-05-01												
2015-05-02												
2015-05-03												
2015-05-04												
2015-05-05												
2015-05-06												
2015-05-07												
2015-05-08												
2015-05-09												
2015-05-10												
2015-05-11												
2015-05-12	69.4025	60.74	63.114999999999995	59.475	58.305	56.2125	63.692499999999995	60.6925	61.41	12.0	1.0	13.5
2015-05-13	44.44086956521739	53.83391304347826	60.36217391304348	54.7395652173913	52.07739130434783	52.052608695652175	59.65	49.444782608695654	54.78565217391304	13.0	2.0	12.0
2015-05-14												
2015-05-15												
2015-05-16												
2015-05-17												
2015-05-18												
2015-05-19												
2015-05-20												
2015-05-21	47.92909090909091	55.91272727272727	62.28636363636363	54.91090909090909	55.53727272727272	52.92363636363636	61.57181818181818	52.70363636363636	59.14090909090908	21.0	3.0	16.818181818181817
2015-05-22	46.634166666666665	54.67875	60.96458333333334	53.75	54.17250000000001	52.20583333333334	60.17625	51.715	56.90541666666667	22.0	4.0	11.5
2015-05-23	46.66958333333333	54.03041666666667	60.463750000000005	52.56166666666667	52.98083333333333	51.66833333333333	58.909166666666664	49.14791666666667	55.388749999999995	23.0	5.0	11.5
2015-05-24	44.67458333333334	54.26625000000001	59.9775	51.92083333333333	53.60916666666666	51.47416666666667	57.73041666666666	49.75541666666667	55.82083333333333	24.0	6.0	11.5
2015-05-25	41.799166666666665	54.800000000000004	60.012499999999996	52.42916666666667	53.600833333333334	51.6025	59.30125	50.3325	56.40166666666667	25.0	0.0	11.5
2015-05-26	41.84875	54.180416666666666	59.63041666666667	51.63666666666666	52.456250000000004	51.93416666666667	59.09041666666667	50.2725	55.88125	26.0	1.0	11.5
2015-05-27	48.91958333333333	55.45541666666667	60.830000000000005	53.673750000000005	53.935833333333335	52.05041666666667	59.47083333333333	50.73500000000001	55.98041666666666	27.0	2.0	11.5
2015-05-28	51.076249999999995	56.04791666666667	60.75583333333333	54.749583333333334	54.61166666666667	52.0625	60.88333333333333	52.99916666666667	56.93208333333334	28.0	3.0	11.5
2015-05-29	46.84458333333333	56.38625	61.32875000000001	53.96666666666667	54.599583333333335	53.59291666666667	60.62083333333334	51.937916666666666	57.02375	29.0	4.0	11.5
2015-05-30	47.550000000000004	54.72875	61.350833333333334	53.73916666666667	53.982499999999995	52.88916666666666	60.050000000000004	49.02125	55.26833333333334	30.0	5.0	11.5
2015-05-31	55.50875	56.51291666666666	61.430416666666666	55.168749999999996	56.099583333333335	52.92250000000001	59.60916666666666	52.97666666666667	56.62416666666667	31.0	6.0	11.5
2015-06-01	55.949999999999996	57.505	61.1025	56.434583333333336	56.76499999999999	53.057500000000005	60.025	52.84791666666666	56.79458333333333	1.0	0.0	11.5
2015-06-02	58.255	56.915	60.729166666666664	55.596666666666664	55.20166666666666	52.70416666666667	60.24583333333334	53.04750000000001	56.99458333333334	2.0	1.0	11.5
2015-06-03	49.10375	54.55583333333333	59.87083333333334	52.465833333333336	53.0325	51.54916666666667	59.34458333333333	50.25875	55.212916666666665	3.0	2.0	11.5
2015-06-04	48.9575	52.962916666666665	60.1525	52.9375	52.48	52.056666666666665	59.02375	48.875	55.38375	4.0	3.0	11.5
2015-06-05	53.79333333333333	55.280833333333334	60.431666666666665	54.73166666666666	54.35125	52.30625	60.044999999999995	51.08833333333334	55.80875	5.0	4.0	11.5
2015-06-06	61.35208333333333	57.340833333333336	61.17416666666667	56.298750000000005	56.324999999999996	53.38375	59.54083333333333	53.882083333333334	56.92291666666667	6.0	5.0	11.5
2015-06-07	43.399166666666666	53.62291666666667	59.958333333333336	51.07083333333333	52.977916666666665	51.51916666666667	58.12041666666667	48.435	55.56375	7.0	6.0	11.5
