datetime	laeq_BullIsland2	laeq_Ballyferm3	laeq_Ballymun4	laeq_DCCRowingClub5	laeq_NavanRoad8	laeq_Raheny9	laeq_ChanceryPark11	laeq_BlessingtonBasin12	laeq_DolphinsBarn13	day_of_month	day_of_week	hour_of_day
2020-02-23	48.666666666666664	56.166666666666664	64.75833333333334	54.65	55.64166666666667	56.13333333333333	61.75833333333333	50.208333333333336	58.55833333333334	23.0	6.0	11.5
2020-02-24	58.291666666666664	56.525	63.833333333333336	56.65833333333333	56.9	55.75833333333333	61.18333333333334	53.35	58.050000000000004	24.0	0.0	11.5
2020-02-25	58.26666666666667	58.166666666666664	66.18333333333334	58.48333333333333	58.88333333333333	57.4	64.13333333333334	55.76666666666667	62.81666666666666	25.0	1.0	20.5
2020-02-26	54.225	55.03333333333333	62.949999999999996	54.041666666666664	55.10833333333333	53.39166666666667	60.36666666666667	52.35	58.51666666666667	26.0	2.0	11.5
2020-02-27	43.14166666666667	54.416666666666664	62.76666666666667	52.550000000000004	54.291666666666664	53.949999999999996	60.025	49.416666666666664	57.50833333333333	27.0	3.0	11.5
2020-02-28	52.199999999999996	53.699999999999996	63.38333333333333	55.166666666666664	54.125	53.550000000000004	61.208333333333336	48.68333333333334	56.74166666666667	28.0	4.0	11.5
2020-02-29	69.68333333333334	58.69166666666666	64.15	59.1	59.01666666666667	57.44166666666666	63.041666666666664	57.84166666666667	60.324999999999996	29.0	5.0	11.5
2020-03-01	62.324999999999996	57.86666666666667	64.06666666666666	58.725	58.28333333333333	56.69166666666666	62.74166666666667	56.51666666666667	59.74166666666667	1.0	6.0	11.5
2020-03-02	54.708333333333336	54.59166666666667	62.375	53.78333333333333	55.208333333333336	52.699999999999996	59.75	51.51666666666667	57.73333333333333	2.0	0.0	11.5
2020-03-03	51.88333333333333	54.275	62.28333333333333	54.43333333333333	54.791666666666664	53.15833333333333	59.925000000000004	51.791666666666664	57.775	3.0	1.0	11.5
2020-03-04	46.63333333333333	52.38333333333333	63.71666666666667	54.93333333333334	52.699999999999996	53.708333333333336	59.9	46.675000000000004	56.541666666666664	4.0	2.0	11.5
2020-03-05	41.858333333333334	52.65	63.083333333333336	54.61666666666667	53.583333333333336	52.699999999999996	59.708333333333336	47.76666666666667	56.833333333333336	5.0	3.0	11.5
2020-03-06	44.98333333333333	54.13333333333333	63.34166666666667	54.291666666666664	54.4	53.65833333333333	60.00833333333333	49.40833333333333	58.09166666666667	6.0	4.0	11.5
2020-03-07	59.56666666666666	55.05833333333334	62.98333333333333	56.50833333333333	57.11666666666667	53.80833333333334	60.800000000000004	53.43333333333334	58.06666666666666	7.0	5.0	11.5
2020-03-08	62.175000000000004	56.56666666666666	62.949999999999996	56.38333333333333	57.76666666666667	55.324999999999996	60.925000000000004	54.541666666666664	58.71666666666667	8.0	6.0	11.5
2020-03-09	63.48333333333333	55.49166666666667	62.24166666666667	55.26666666666667	56.041666666666664	54.05833333333334	60.11666666666667	54.19166666666666	58.23333333333333	9.0	0.0	11.5
2020-03-10	59.425000000000004	56.23333333333333	62.75	56.09166666666667	55.708333333333336	54.19166666666666	60.81666666666666	54.51666666666667	58.958333333333336	10.0	1.0	11.5
2020-03-11	62.666666666666664	56.03333333333333	62.68333333333334	56.40833333333333	56.31666666666666	54.525	61.03333333333333	54.94166666666666	57.85833333333333	11.0	2.0	11.5
